peak,symbol
1p36.32,LINC01346
1p36.32,LOC284661
1p36.31,MIR4417
1p36.31,MIR4689
1p36.31,NPHP4
1p36.31,KCNAB2
1p36.31,CHD5
1p36.31,RPL22
1p36.31,LOC102724450
1p36.31,RNF207
1p36.31,ICMT
1p36.31,HES3
1p36.31,LINC00337
1p36.31,GPR153
1p36.31,ACOT7
1p36.31,HES2
1p36.31,ESPN
1p36.31,MIR4252
1p36.31,TNFRSF25
1p36.31,PLEKHG5
1p36.31,NOL9
1p36.31,TAS1R1
1p36.31,ZBTB48
1p36.31,KLHL21
1p36.31,PHF13
1p36.31,THAP3
1p36.31,DNAJC11
1p36.31,LOC100505887
1p36.31,CAMTA1
1p36.23,VAMP3
1p36.23,PER3
1p36.23,UTS2
1p36.23,TNFRSF9
1p36.23,PARK7
1p36.23,ERRFI1
1p36.23,LOC102724539
1p36.23,SLC45A1
1p36.23,RERE
1p36.23,LOC102724552
1p36.23,SNORD128
1p36.23,ENO1
1p36.23,MIR6728
1p36.23,ENO1-AS1
1p36.23,CA6
1p36.23,SLC2A7
1p36.23,SLC2A5
1p36.22,GPR157
1p36.22,MIR34AHG
1p36.22,MIR34A
1p36.22,LOC102724571
1p36.22,H6PD
1p36.22,SPSB1
1p36.22,LOC100506022
1p36.22,SLC25A33
1p36.22,TMEM201
1p36.22,PIK3CD-AS1
1p36.22,PIK3CD
1p36.22,PIK3CD-AS2
1p36.22,CLSTN1
1p36.22,CTNNBIP1
1p36.22,LZIC
1p36.22,NMNAT1
1p36.22,MIR5697
1p36.22,RBP7
1p36.22,UBE4B
1p36.22,KIF1B
1p36.22,MIR1273D
1p36.22,RNU6-1|chr1
1p36.22,RNU6-2|chr1
1p36.22,RNU6-7|chr1
1p36.22,RNU6-8|chr1
1p36.22,PGD
1p36.22,APITD1-CORT
1p36.22,CENPS
1p36.22,CORT
1p36.22,DFFA
1p36.22,PEX14
1p36.22,CASZ1
1p36.22,C1orf127
1p36.22,TARDBP
1p36.22,MASP2
1p36.22,SRM
1p36.22,EXOSC10
1p36.22,LOC105376736
1p36.22,MTOR
1p36.22,MTOR-AS1
1p36.22,ANGPTL7
1p36.22,UBIAD1
1p36.22,DISP3
1p36.22,LOC101929181
1p36.22,FBXO2
1p36.22,FBXO44
1p36.22,FBXO6
1p36.22,MAD2L2
1p36.22,DRAXIN
1p36.22,AGTRAP
1p36.22,C1orf167
1p36.22,LOC102724659
1p36.22,MTHFR
1p36.22,CLCN6
1p36.22,NPPA-AS1
1p36.22,NPPA
1p36.22,NPPB
1p36.22,RNU5E-1
1p36.22,KIAA2013
1p36.22,PLOD1
1p36.22,MFN2
1p36.22,MIIP
1p36.22,MIR6729
1p36.22,TNFRSF8
1p36.22,MIR7846
1p36.22,TNFRSF1B
1p36.22,MIR4632
1p36.22,VPS13D
1p36.21,SNORA59A|chr1
1p36.21,DHRS3
1p36.21,MIR6730
1p36.21,AADACL4
1p36.21,AADACL3
1p36.21,C1orf158
1p36.21,PRAMEF12
1p36.21,PRAMEF1
1p36.21,PRAMEF11
1p36.21,HNRNPCL1
1p36.21,PRAMEF2
1p36.21,PRAMEF4
1p36.21,PRAMEF10
1p36.21,PRAMEF6
1p36.21,PRAMEF7
1p36.21,HNRNPCL3
1p36.21,HNRNPCL4
1p36.21,PRAMEF25
1p36.21,PRAMEF26
1p36.21,PRAMEF27
1p36.21,PRAMEF34P
1p36.21,HNRNPCL2
1p36.21,PRAMEF13
1p36.21,PRAMEF18
1p36.21,PRAMEF22
1p36.21,PRAMEF5
1p36.21,PRAMEF15
1p36.21,PRAMEF33P
1p36.21,PRAMEF8
1p36.21,PRAMEF14
1p36.21,PRAMEF19
1p36.21,PRAMEF17
1p36.21,PRAMEF20
1p36.21,LRRC38
1p36.21,PDPN
1p36.21,PRDM2
1p36.21,KAZN
1p36.21,TMEM51-AS1
1p36.21,TMEM51
1p36.21,C1orf195
1p36.21,FHAD1
1p36.21,EFHD2
1p36.21,CTRC
1p36.21,CELA2A
1p36.21,CELA2B
1p36.21,CASP9
1p36.21,DNAJC16
1p36.21,AGMAT
1p36.21,DDI2
1p36.21,RSC1A1
1p36.21,PLEKHM2
1p36.21,SLC25A34
1p36.21,TMEM82
1p36.21,FBLIM1
1p36.21,UQCRHL
1p36.21,FLJ37453
1p36.21,SPEN
1p36.21,MIR5096|chr1
1p36.13,ZBTB17
1p36.13,C1orf64
1p36.13,HSPB7
1p36.13,CLCNKA
1p36.13,CLCNKB
1p36.13,FAM131C
1p36.13,EPHA2
1p36.13,ARHGEF19
1p36.13,RSG1
1p36.13,FBXO42
1p36.13,SZRD1
1p36.13,SPATA21
1p36.13,NECAP2
1p36.13,CROCCP3
1p36.13,RNU1-1|chr1
1p36.13,RNU1-2|chr1
1p36.13,RNU1-3|chr1
1p36.13,RNU1-4|chr1
1p36.13,LOC100132147
1p36.13,FAM231B
1p36.13,MIR3675
1p36.13,NBPF1
1p36.13,CROCCP2
1p36.13,MST1P2
1p36.13,ESPNP
1p36.13,FAM231A
1p36.13,FAM231C
1p36.13,MST1L
1p36.13,LOC105376805
1p36.13,CROCC
1p36.13,MFAP2
1p36.13,ATP13A2
1p36.13,SDHB
1p36.13,PADI2
1p36.13,PADI1
1p36.13,PADI3
1p36.13,MIR3972
1p36.13,PADI4
1p36.13,PADI6
1p36.13,RCC2
1p36.13,ARHGEF10L
1p36.13,ACTL8
1p36.13,IGSF21
1p36.13,LOC101927876
1p36.13,KLHDC7A
1p36.13,PAX7
1p36.13,TAS1R2
1p36.13,ALDH4A1
1p36.13,MIR4695
1p36.13,MIR1290
1p36.13,IFFO2
1p36.13,UBR4
1p36.13,EMC1
1p36.13,LOC101927895
1p36.13,MRTO4
1p36.13,AKR7L
1p36.13,AKR7A3
1p36.13,LOC100506730
1p36.13,AKR7A2
1p36.13,PQLC2
1p36.13,CAPZB
1p36.13,LOC105378614
1p36.13,MINOS1-NBL1
1p36.13,MINOS1
1p36.13,RPS14P3
1p36.13,NBL1
1p36.13,HTR6
1p36.13,TMCO4
1p36.13,RNF186
1p36.13,OTUD3
1p36.13,PLA2G2E
1p36.13,PLA2G2A
1p36.13,PLA2G5
1p36.12,PLA2G2D
1p36.12,PLA2G2F
1p36.12,PLA2G2C
1p36.12,UBXN10-AS1
1p36.12,UBXN10
1p36.12,VWA5B1
1p36.12,CAMK2N1
1p36.12,LINC01141
1p36.12,MUL1
1p36.12,FAM43B
1p36.12,CDA
1p36.12,MIR6084
1p36.12,PINK1-AS
1p36.12,PINK1
1p36.12,DDOST
1p36.12,KIF17
1p36.12,SH2D5
1p36.12,HP1BP3
1p36.12,EIF4G3
1p36.12,MIR1256
1p36.12,ECE1
1p36.12,LOC100506801
1p36.12,NBPF3
1p36.12,ALPL
1p36.12,RAP1GAP
1p36.12,USP48
1p36.12,LDLRAD2
1p36.12,HSPG2
1p36.12,CELA3B
1p36.12,CELA3A
1p36.12,CDC42
1p36.12,LINC00339
1p36.12,LOC101928043
1p36.12,WNT4
1p36.12,MIR4418
1p36.12,ZBTB40
1p36.12,EPHA8
1p36.12,C1QA
1p36.12,MIR6127
1p36.12,C1QC
1p36.12,C1QB
1p36.12,EPHB2
1p36.12,MIR4684
1p36.12,MIR4253
1p36.12,LACTBL1
1p36.12,C1orf234
1p36.12,KDM1A
1p36.12,MIR3115
1p36.12,MIR4419A
1p36.12,LUZP1
1p36.12,HTR1D
1p36.12,LINC01355
1p36.12,HNRNPR
1p36.12,ZNF436
1p36.12,ZNF436-AS1
1p36.12,TCEA3
1p36.12,ASAP3
1p36.12,E2F2
1p36.12,LOC101928163
1p36.12,ID3
1p36.11,MDS2
1p36.11,RPL11
1p36.11,TCEB3
1p36.11,TCEB3-AS1
1p36.11,PITHD1
1p36.11,LYPLA2
1p36.11,GALE
1p36.11,HMGCL
1p36.11,FUCA1
1p36.11,CNR2
1p36.11,MIR378F
1p36.11,PNRC2
1p36.11,SRSF10
1p36.11,MYOM3
1p36.11,IL22RA1
1p36.11,IFNLR1
1p36.11,LOC284632
1p36.11,GRHL3
1p36.11,STPG1
1p36.11,NIPAL3
1p36.11,RCAN3AS
1p36.11,RCAN3
1p36.11,LOC100506985
1p36.11,NCMAP
1p36.11,SRRM1
1p36.11,CLIC4
1p36.11,RUNX3
1p36.11,MIR6731
1p36.11,MIR4425
1p36.11,SYF2
1p36.11,RSRP1
1p36.11,RHD
1p36.11,TMEM50A
1p36.11,RHCE
1p36.11,TMEM57
1p36.11,LDLRAP1
1p36.11,MAN1C1
1p36.11,SEPN1
1p36.11,LOC646471
1p36.11,MTFR1L
1p36.11,AUNIP
1p36.11,PAQR7
1p36.11,STMN1
1p36.11,MIR3917
1p36.11,PAFAH2
1p36.11,EXTL1
1p36.11,SLC30A2
1p36.11,TRIM63
1p36.11,PDIK1L
1p36.11,FAM110D
1p36.11,CNKSR1
1p36.11,ZNF593
1p36.11,CATSPER4
1p36.11,LOC101928303
1p36.11,CEP85
1p36.11,SH3BGRL3
1p36.11,UBXN11
1p36.11,AIM1L
1p36.11,CD52
1p36.11,ZNF683
1p36.11,LIN28A
1p36.11,DHDDS
1p36.11,LOC101928324
1p36.11,HMGN2
1p36.11,RPS6KA1
1p36.11,MIR1976
1p36.11,ARID1A
1p36.11,LOC101928728
1p36.11,PIGV
1p36.11,ZDHHC18
1p36.11,SFN
1p36.11,GPN2
1p36.11,GPATCH3
1p36.11,NR0B2
1p36.11,NUDC
1p36.11,KDF1
1p36.11,TRNP1
1p36.11,FAM46B
1p36.11,SLC9A1
1p36.11,WDTC1
1p36.11,ACTG1P20
1p36.11,TMEM222
1p36.11,SYTL1
1p36.11,MAP3K6
1p36.11,FCN3
1p36.11,CD164L2
1p36.11,GPR3
1p36.11,WASF2
1p36.11,AHDC1
1p35.3,FGR
1p35.3,IFI6
1p35.3,FAM76A
1p35.3,STX12
1p35.3,PPP1R8
1p35.3,SCARNA1
1p35.3,THEMIS2
1p35.3,RPA2
1p35.3,SMPDL3B
1p35.3,XKR8
1p35.3,EYA3
1p35.3,PTAFR
1p35.3,DNAJC8
1p35.3,ATPIF1
1p35.3,SESN2
1p35.3,MED18
1p35.3,PHACTR4
1p35.3,RCC1
1p35.3,SNHG3
1p35.3,SNORA73A
1p35.3,SNORA73B
1p35.3,TRNAU1AP
1p35.3,SNHG12
1p35.3,SNORA61
1p35.3,SNORD99
1p35.3,SNORA16A
1p35.3,SNORA44
1p35.3,RAB42
1p35.3,TAF12
1p35.3,RNU11
1p35.3,GMEB1
1p35.3,YTHDF2
1p35.3,OPRD1
1p35.3,EPB41
1p35.3,TMEM200B
1p35.3,SRSF4
1p35.3,MECR
1p35.3,PTPRU
1p35.3,LOC101928460
1p35.2,LOC101929406
1p35.2,MATN1
1p35.2,MATN1-AS1
1p35.2,LAPTM5
1p35.2,MIR4420
1p35.2,SDC3
1p35.2,PUM1
1p35.2,SNORD103A
1p35.2,SNORD103C
1p35.2,NKAIN1
1p35.2,SNRNP40
1p35.2,ZCCHC17
1p35.2,FABP3
1p35.2,SERINC2
1p35.2,LINC01225
1p35.2,LINC01226
1p35.2,TINAGL1
1p35.2,HCRTR1
1p35.2,PEF1
1p35.2,COL16A1
1p35.2,ADGRB2
1p35.2,MIR4254
1p35.2,SPOCD1
1p35.2,PTP4A2
1p35.2,KHDRBS1
1p35.2,TMEM39B
1p35.2,MIR5585
1p35.2,KPNA6
1p35.2,TXLNA
1p35.2,CCDC28B
1p35.2,IQCC
1p35.2,DCDC2B
1p35.2,TMEM234
1p35.2,EIF3I
1p35.2,MTMR9LP
1p35.2,FAM167B
1p35.2,LCK
1p35.2,HDAC1
1p35.1,MARCKSL1
1p35.1,FAM229A
1p35.1,TSSK3
1p35.1,BSDC1
1p35.1,ZBTB8B
1p35.1,ZBTB8A
1p35.1,ZBTB8OS
1p35.1,RBBP4
1p35.1,SYNC
1p35.1,KIAA1522
1p35.1,YARS
1p35.1,S100PBP
1p35.1,FNDC5
1p35.1,HPCA
1p35.1,TMEM54
1p35.1,RNF19B
1p35.1,AK2
1p35.1,AZIN2
1p35.1,TRIM62
1p35.1,ZNF362
1p35.1,A3GALT2
1p35.1,PHC2
1p35.1,MIR3605
1p35.1,LOC101929464
1p35.1,ZSCAN20
1p35.1,CSMD2
1p35.1,HMGB4
1p35.1,CSMD2-AS1
1p35.1,C1orf94
1p34.3,MIR552
1p34.3,GJB5
1p34.3,GJB4
1p34.3,GJB3
1p34.3,GJA4
1p34.3,SMIM12
1p34.3,DLGAP3
1p34.3,LOC653160
1p34.3,TMEM35B
1p34.3,ZMYM6
1p34.3,ZMYM1
1p34.3,SFPQ
1p34.3,ZMYM4
1p34.3,KIAA0319L
1p34.3,NCDN
1p34.3,TFAP2E
1p34.3,PSMB2
1p34.3,C1orf216
1p34.3,CLSPN
1p34.3,AGO4
1p34.3,AGO1
1p34.3,AGO3
1p34.3,TEKT2
1p34.3,ADPRHL2
1p34.3,COL8A2
1p34.3,TRAPPC3
1p34.3,MAP7D1
1p34.3,THRAP3
1p34.3,SH3D21
1p34.3,EVA1B
1p34.3,STK40
1p34.3,LSM10
1p34.3,OSCP1
1p34.3,MRPS15
1p34.3,CSF3R
1p34.3,GRIK3
1p34.3,MIR4255
1p34.3,LINC01137
1p34.3,ZC3H12A
1p34.3,MIR6732
1p34.3,MEAF6
1p34.3,MIR5581
1p34.3,SNIP1
1p34.3,DNALI1
1p34.3,GNL2
1p34.3,RSPO1
1p34.3,C1orf109
1p34.3,CDCA8
1p34.3,EPHA10
1p34.3,MANEAL
1p34.3,YRDC
1p34.3,C1orf122
1p34.3,MTF1
1p34.3,INPP5B
1p34.3,SF3A3
1p34.3,FHL3
1p34.3,UTP11
1p34.3,POU3F1
1p34.3,MIR3659
1p34.3,LINC01343
1p34.3,RRAGC
1p34.3,GJA9-MYCBP
1p34.3,MYCBP
1p34.3,GJA9
1p34.3,LOC105378663
1p34.3,RHBDL2
1p34.3,AKIRIN1
1p34.3,NDUFS5
1p34.3,MACF1
1p34.3,KIAA0754
1p34.3,BMP8A
1p34.3,OXCT2P1
1p34.3,PPIEL
1p34.3,PABPC4
1p34.3,LOC101929516
1p34.3,SNORA55
1p34.2,HEYL
1p34.2,NT5C1A
1p34.2,HPCAL4
1p34.2,PPIE
1p34.2,BMP8B
1p34.2,OXCT2
1p34.2,LOC101929536
1p34.2,TRIT1
1p34.2,MYCL
1p34.2,MFSD2A
1p34.2,CAP1
1p34.2,PPT1
1p34.2,RLF
1p34.2,TMCO2
1p34.2,ZMPSTE24
1p34.2,COL9A2
1p34.2,SMAP2
1p34.2,ZFP69B
1p34.2,ZFP69
1p34.2,EXO5
1p34.2,ZNF684
1p34.2,RIMS3
1p34.2,NFYC-AS1
1p34.2,NFYC
1p34.2,MIR30C1
1p34.2,MIR30E
1p34.2,KCNQ4
1p34.2,CITED4
1p34.2,CTPS1
1p34.2,SLFNL1-AS1
1p34.2,SLFNL1
1p34.2,SCMH1
1p34.2,FOXO6
1p34.2,LOC101929901
1p34.2,EDN2
1p34.2,HIVEP3
1p34.2,GUCA2B
1p34.2,GUCA2A
1p34.2,FOXJ3
1p34.2,RIMKLA
1p34.2,ZMYND12
1p34.2,PPCS
1p34.2,CCDC30
1p34.2,PPIH
1p34.2,YBX1
1p34.2,CLDN19
1p34.2,P3H1
1p34.2,C1orf50
1p34.2,LOC105378683
1p34.2,LOC100129924
1p34.2,SVBP
1p34.2,ERMAP
1p34.2,ZNF691
1p34.2,LOC339539
1p34.2,SLC2A1
1p34.2,SLC2A1-AS1
1p34.2,FAM183A
1p34.2,CFAP57
1p34.2,EBNA1BP2
1p34.2,MIR6733
1p34.2,TMEM125
1p34.2,C1orf210
1p34.2,TIE1
1p34.2,MPL
1p34.2,CDC20
1p34.2,ELOVL1
1p34.2,MIR6734
1p34.2,MED8
1p34.2,SZT2
1p34.2,HYI
1p34.2,MIR6735
1p34.2,PTPRF
1p34.2,KDM4A
1p34.2,KDM4A-AS1
1p34.1,LOC101929592
1p34.1,ST3GAL3
1p34.1,MIR6079
1p34.1,ARTN
1p34.1,IPO13
1p34.1,ATP6V0B
1p34.1,DPH2
1p34.1,B4GALT2
1p34.1,CCDC24
1p34.1,SLC6A9
1p34.1,KLF17
1p34.1,DMAP1
1p34.1,ERI3-IT1
1p34.1,ERI3
1p34.1,SNORA110
1p34.1,RNF220
1p34.1,MIR5584
1p34.1,TMEM53
1p34.1,C1orf228
1p34.1,RNU5F-1
1p34.1,RNU5D-1
1p34.1,KIF2C
1p34.1,RPS8
1p34.1,SNORD55
1p34.1,BEST4
1p34.1,SNORD38A
1p34.1,SNORD38B
1p34.1,SNORD46
1p34.1,PLK3
1p34.1,BTBD19
1p34.1,TCTEX1D4
1p34.1,PTCH2
1p34.1,EIF2B3
1p34.1,HECTD3
1p34.1,UROD
1p34.1,ZSWIM5
1p34.1,LINC01144
1p34.1,HPDL
1p34.1,MUTYH
1p34.1,TESK2
1p34.1,TOE1
1p34.1,CCDC163
1p34.1,MMACHC
1p34.1,PRDX1
1p34.1,AKR1A1
1p34.1,NASP
1p34.1,CCDC17
1p34.1,GPBP1L1
1p34.1,RPS15AP10
1p34.1,TMEM69
1p34.1,IPP
1p34.1,MAST2
1p34.1,PIK3R3
1p34.1,LOC101929626
1p34.1,TSPAN1
1p34.1,POMGNT1
1p34.1,LURAP1
1p34.1,RAD54L
1p34.1,LRRC41
1p33,UQCRH
1p33,NSUN4
1p33,FAAH
1p33,FAAHP1
1p33,LINC01398
1p33,DMBX1
1p33,MKNK1-AS1
1p33,KNCN
1p33,MKNK1
1p33,MOB3C
1p33,ATPAF1
1p33,EFCAB14-AS1
1p33,EFCAB14
1p33,TEX38
1p33,CYP4B1
1p33,CYP4Z2P
1p33,CYP4A11
1p33,CYP4X1
1p33,CYP4Z1
1p33,CYP4A22
1p33,LINC00853
1p33,PDZK1IP1
1p33,TAL1
1p33,STIL
1p33,CMPK1
1p33,LINC01389
1p33,FOXE3
1p33,FOXD2-AS1
1p33,FOXD2
1p33,TRABD2B
1p33,SKINT1L
1p33,SLC5A9
1p33,SPATA6
1p33,AGBL4
1p33,BEND5
1p33,AGBL4-IT1
1p33,LOC101929721
1p33,ELAVL4
1p32.3,DMRTA2
1p32.3,FAF1
1p32.3,CDKN2C
1p32.3,MIR4421
1p32.3,MIR6500
1p32.3,C1orf185
1p32.3,RNF11
1p32.3,TTC39A
1p32.3,TTC39A-AS1
1p32.3,EPS15
1p32.3,OSBPL9
1p32.3,NRDC
1p32.3,MIR761
1p32.3,RAB3B
1p32.3,TXNDC12
1p32.3,KTI12
1p32.3,BTF3L4
1p32.3,TXNDC12-AS1
1p32.3,ZFYVE9
1p32.3,CC2D1B
1p32.3,ORC1
1p32.3,PRPF38A
1p32.3,ZCCHC11
1p32.3,GPX7
1p32.3,FAM159A
1p32.3,COA7
1p32.3,ZYG11B
1p32.3,ZYG11A
1p32.3,ECHDC2
1p32.3,MIR1273F
1p32.3,MIR5095
1p32.3,SCP2
1p32.3,MIR1273G
1p32.3,PODN
1p32.3,SLC1A7
1p32.3,CPT2
1p32.3,C1orf123
1p32.3,MAGOH
1p32.3,LOC100507564
1p32.3,LRP8
1p32.3,LOC105378732
1p32.3,SLC25A3P1
1p32.3,DMRTB1
1p32.3,GLIS1
1p32.3,NDC1
1p32.3,YIPF1
1p32.3,DIO1
1p32.3,HSPB11
1p32.3,LRRC42
1p32.3,LDLRAD1
1p32.3,TMEM59
1p32.3,MIR4781
1p32.3,TCEANC2
1p32.3,CDCP2
1p32.3,CYB5RL
1p32.3,MRPL37
1p32.3,SSBP3
1p32.3,SSBP3-AS1
1p32.3,ACOT11
1p32.3,FAM151A
1p32.3,MROH7-TTC4
1p32.3,MROH7
1p32.3,TTC4
1p32.3,PARS2
1p32.3,TTC22
1p32.3,LEXM
1p32.3,DHCR24
1p32.3,TMEM61
1p32.3,BSND
1p32.3,PCSK9
1p32.3,USP24
1p32.3,LOC100507634
1p32.3,MIR4422
1p32.2,PLPP3
1p32.2,LOC101929935
1p32.2,PRKAA2
1p32.2,C1orf168
1p32.2,C8A
1p32.2,C8B
1p32.2,DAB1
1p32.2,DAB1-AS1
1p32.2,OMA1
1p32.1,TACSTD2
1p32.1,MYSM1
1p32.1,JUN
1p32.1,LINC01135
1p32.1,FGGY
1p32.1,HSD52
1p32.1,LINC01358
1p32.1,MIR4711
1p32.1,LOC101926944
1p32.1,HOOK1
1p32.1,CYP2J2
1p32.1,C1orf87
1p32.1,LOC101926964
1p31.3,NFIA-AS2
1p31.3,NFIA
1p31.3,NFIA-AS1
1p31.3,MGC34796
1p31.3,TM2D1
1p31.3,PATJ
1p31.3,MIR3116-1
1p31.3,MIR3116-2
1p31.3,L1TD1
1p31.3,KANK4
1p31.3,USP1
1p31.3,DOCK7
1p31.3,ANGPTL3
1p31.3,ATG4C
1p31.3,FOXD3-AS1
1p31.3,LINC00466
1p31.3,FOXD3
1p31.3,MIR6068
1p31.3,ALG6
1p31.3,ITGB3BP
1p31.3,EFCAB7
1p31.3,DLEU2L
1p31.3,PGM1
1p31.3,ROR1
1p31.3,ROR1-AS1
1p31.3,UBE2U
1p31.3,CACHD1
1p31.3,MIR4794
1p31.3,RAVER2
1p31.3,JAK1
1p31.3,LINC01359
1p31.3,MIR3671
1p31.3,MIR101-1
1p31.3,AK4
1p31.3,DNAJC6
1p31.3,LEPROT
1p31.3,LEPR
1p31.3,PDE4B
1p31.3,LOC101927139
1p31.3,SGIP1
1p31.3,MIR3117
1p31.3,TCTEX1D1
1p31.3,INSL5
1p31.3,WDR78
1p31.3,MIER1
1p31.3,SLC35D1
1p31.3,C1orf141
1p31.3,IL23R
1p31.3,IL12RB2
1p31.3,SERBP1
1p31.3,GADD45A
1p31.3,GNG12
1p31.3,DIRAS3
1p31.3,GNG12-AS1
1p31.3,WLS
1p31.3,MIR1262
1p31.3,RPE65
1p31.3,DEPDC1
1p31.3,DEPDC1-AS1
1p31.1,LRRC7
1p31.1,PIN1P1
1p31.1,LRRC40
1p31.1,SRSF11
1p31.1,ANKRD13C
1p31.1,HHLA3
1p31.1,CTH
1p31.1,LOC101927244
1p31.1,PTGER3
1p31.1,ZRANB2-AS1
1p31.1,MIR186
1p31.1,ZRANB2
1p31.1,ZRANB2-AS2
1p31.1,NEGR1
1p31.1,NEGR1-IT1
1p31.1,LINC01360
1p31.1,LRRIQ3
1p31.1,FPGT-TNNI3K
1p31.1,FPGT
1p31.1,TNNI3K
1p31.1,ERICH3
1p31.1,ERICH3-AS1
1p31.1,CRYZ
1p31.1,TYW3
1p31.1,LHX8
1p31.1,SLC44A5
1p31.1,ACADM
1p31.1,DLSTP1
1p31.1,RABGGTB
1p31.1,SNORD45A
1p31.1,SNORD45B
1p31.1,SNORD45C
1p31.1,MSH4
1p31.1,ASB17
1p31.1,LOC101927342
1p31.1,ST6GALNAC3
1p31.1,ST6GALNAC5
1p31.1,MIR7156
1p31.1,PIGK
1p31.1,AK5
1p31.1,ZZZ3
1p31.1,USP33
1p31.1,MIGA1
1p31.1,NEXN-AS1
1p31.1,NEXN
1p31.1,FUBP1
1p31.1,DNAJB4
1p31.1,GIPC2
1p31.1,MGC27382
1p31.1,PTGFR
1p31.1,IFI44L
1p31.1,IFI44
1p31.1,ADGRL4
1p31.1,LOC101927412
1p31.1,ADGRL2
1p31.1,LOC101927434
1p31.1,LINC01361
1p31.1,LOC101927560
1p31.1,LOC101927587
1p31.1,TTLL7
1p31.1,PRKACB
1p31.1,SAMD13
1p31.1,UOX
1p31.1,DNASE2B
1p22.3,RPF1
1p22.3,GNG5
1p22.3,SPATA1
1p22.3,CTBS
1p22.3,LINC01461
1p22.3,LINC01555
1p22.3,SSX2IP
1p22.3,LPAR3
1p22.3,MCOLN2
1p22.3,MCOLN3
1p22.3,WDR63
1p22.3,MIR4423
1p22.3,SYDE2
1p22.3,C1orf52
1p22.3,BCL10
1p22.3,LOC646626
1p22.3,DDAH1
1p22.3,CYR61
1p22.3,ZNHIT6
1p22.3,COL24A1
1p22.3,ODF2L
1p22.3,MIR7856
1p22.3,CLCA2
1p22.3,CLCA1
1p22.3,CLCA4
1p22.3,LOC105378828
1p22.3,CLCA3P
1p22.3,SH3GLB1
1p22.3,15-Sep
1p22.3,HS2ST1
1p22.3,LINC01140
1p22.3,LOC101927844
1p22.3,LMO4
1p22.3,LINC01364
1p22.2,PKN2-AS1
1p22.2,PKN2
1p22.2,GTF2B
1p22.2,KYAT3
1p22.2,RBMXL1
1p22.2,GBP3
1p22.2,GBP1
1p22.2,GBP2
1p22.2,GBP7
1p22.2,GBP4
1p22.2,GBP5
1p22.2,LOC729930
1p22.2,GBP6
